Source;Target;Type
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;335340;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8870;13552;Undirected
8870;76480;Undirected
8870;13552;Undirected
8870;120551;Undirected
8870;553830;Undirected
8870;13552;Undirected
8870;120551;Undirected
8870;13552;Undirected
8870;120551;Undirected
8870;13552;Undirected
8870;13552;Undirected
8870;335340;Undirected
8933;18087;Undirected
8933;62364;Undirected
8933;24966;Undirected
8933;18087;Undirected
8933;18087;Undirected
8933;18087;Undirected
8933;18401;Undirected
8933;18403;Undirected
8933;175949;Undirected
8933;18087;Undirected
8933;18087;Undirected
8933;24966;Undirected
8933;24966;Undirected
8933;18401;Undirected
8933;175949;Undirected
8933;513268;Undirected
8933;62364;Undirected
8933;24966;Undirected
8933;513268;Undirected
8933;62364;Undirected
8933;149391;Undirected
8933;24966;Undirected
8933;62364;Undirected
8933;18402;Undirected
8933;62364;Undirected
8933;18402;Undirected
8933;18087;Undirected
8933;44673;Undirected
8933;44673;Undirected
8933;18087;Undirected
8933;18087;Undirected
8933;18402;Undirected
8933;175949;Undirected
8933;18401;Undirected
8933;62364;Undirected
8933;44673;Undirected
8933;44775;Undirected
8933;18087;Undirected
8933;18087;Undirected
8933;24966;Undirected
8933;62364;Undirected
8933;18087;Undirected
8933;18402;Undirected
8933;62364;Undirected
8933;18402;Undirected
8933;18087;Undirected
8933;18402;Undirected
8933;18087;Undirected
8933;62364;Undirected
8933;44673;Undirected
8933;18087;Undirected
9871;238238;Undirected
9871;198105;Undirected
9871;198105;Undirected
9871;198105;Undirected
9871;238238;Undirected
9871;494633;Undirected
9871;238238;Undirected
9871;198105;Undirected
9871;24862;Undirected
9871;24966;Undirected
9871;198105;Undirected
9871;198105;Undirected
9871;21852;Undirected
9871;238238;Undirected
9871;198105;Undirected
9871;238238;Undirected
9871;21852;Undirected
10281;135877;Undirected
10281;135877;Undirected
10281;135877;Undirected
10281;1285898;Undirected
10281;135877;Undirected
10281;135877;Undirected
10281;197787;Undirected
10281;197787;Undirected
